说话人,文件名,中文,日语
Meruru,Main_058,这样子的话，医务室内就要同时出现两个需要照顾的人了......,
Hanna,Main_059,不，不，不是这样的，不对，那不是我的......真实想法。,
Hanna,Main_060,不要，我不想伤害大家，不要，不要......,
Meruru,Main_061,汉娜小姐？听不太清你在.......,
Meruru,Main_062,我觉得...汉娜小姐可能需要一些帮助，我在这里照顾艾玛就好。,
Sherry,Main_063,交给我吧！ 如果汉娜真被怨灵附体了，我一定要把怨灵从汉娜身体中打出去！,
Sherry,Main_064,啊，汉娜！终于找到你了！,
Sherry,Main_065,我找了好几个你常去的地方，都没找到你，没想到你居然在这里。,
Sherry,Main_066,汉娜刚才的表现太奇怪了， 梅露露有些担心你，就叫我出来找你啦！,
Sherry,Main_067,喂？汉娜在听我说......,
Hanna,Main_068,不！雪莉你先别过来！让我，让我一个人冷静下。,
Hanna,Main_069,我都说了！不要过来！,
Hanna,Main_070,我好像，就要变成魔女了，我不想......不想伤害任何人。,
Sherry,Main_071,我明白的哟，汉娜。,
Sherry,Main_072,我明白的，汉娜，你现在的指甲，可是非——常长的！ 昨天汉娜剪指甲的时候，还被我吓了一大跳呢！,
Sherry,Main_073,如果我没猜错的话......,
Sherry,Main_074,......汉娜刚才，是想杀了艾玛吧。,
Hanna,Main_075,（啊啊，这个笨蛋，为什么偏偏在这种时刻这么敏锐。）,
Sherry,Main_076,但我知道，汉娜是个温柔的人呢。,
Sherry,Main_077,所以在梅露露发现你的异常后，为了避免失控， 汉娜就跑啊跑，一直跑到了这——么远的地方呢！,
Sherry,Main_078,怎么样，我这个名侦探的推理正确吧！,
Hanna,Main_079,呜...呜呜...,
Hanna,Main_080,哇啊啊，哇啊啊啊啊啊啊啊啊......,
Hanna,Main_081,雪莉，我真的好害怕......,
Hanna,Main_082,"莫名其妙地来到这里，莫名其妙地被加以""魔女""的罪名， 莫名其妙地看着别人被杀，莫名其妙地处刑大家......",
Hanna,Main_083,我讨厌这里的饭菜，讨厌这里的床铺，讨厌这里的环境， 讨厌那只烦人的鸟，讨厌那个可怕的怪物， 讨厌这里的一切，一切！,
Hanna,Main_084,我一度以为我会失去在这里活下去的希望，一度以为 自己就算不被杀，也会变成一具麻木遵守规定的行尸走肉......,
Hanna,Main_085,......但是，因为有你、有艾玛、有梅露露在， 我感觉，我好像又有了认真活下去的希望。,
Hanna,Main_086,而我却控制不住地想要毁灭这一切。,
Hanna,Main_087,为什么，为什么！我搞不懂，搞不懂啊！ 呜呜，呜啊啊啊啊啊啊啊啊啊......,
Sherry,Main_088,没关系的呦。,
Hanna,Main_089,哎？,
Sherry,Main_090,（应该，是这么安慰别人的吧？）,
Sherry,Main_091,我知道的，这不是汉娜的错，汉娜也不想这样的吧。,
Sherry,Main_092,这个鬼地方，确实不那么好呢。,
Sherry,Main_093,饭菜差、睡觉不舒服，环境恶劣， 不断地有人死去，不断地有人变成魔女......,
Sherry,Main_094,但是！,
Sherry,Main_095,无论汉娜变成什么样子，我们都会是好朋友。,
Sherry,Main_096,无论发生什么，我都会待在汉娜的身边。,
Sherry,Main_097,我绝对，不会离开汉娜的。,
Sherry,Main_098,毕竟，名门贵族的大小姐， 一定需要一位又可爱又天才又强壮的名侦探来保护吧！,
Hanna,Main_099,雪莉。,
Hanna,Main_100,履行我们的约定吧。,
Sherry,Main_101,汉娜是说......,
Hanna,Main_102,杀了我，然后，活下去。,
Sherry,Main_103,哎？！现在吗！,
Hanna,Main_104,当然不是啦！你要认真准备，设计一场完美犯罪，然后活下去。,
Hanna,Main_105,我不希望在一切不可挽回前，伤害别人。,
Sherry,Main_106,交给我吧！这点小事对名侦探来说可是轻而易举！,
Sherry,Main_107,不如说我从知道会有杀人案发生后， 我就一直在想这座岛上有哪些地方可以作案呢！,
Hanna,Main_108,哈？？？？,
Sherry,Main_109,汉娜可不要误会了，这叫做逆向思考！ 提前想好凶手可能的作案手法，才能做到临危不乱。,
Sherry,Main_110,"怎么样？是不是要来夸一句""雪莉好可爱最喜欢了""， ""真了不起真厉害简直天才""之类的！",
Hanna,Main_111,但前两次审判艾玛也把你驳倒了好几次吧......,
Sherry,Main_112,欸嘿嘿嘿，名侦探也有失手的时候呢......,
Hanna,Main_113,果然还是个笨蛋吧！！！,
Hanna,Main_114,真是的，也不知道雪莉叫我来地精之室做什么， 说是有个小惊喜......,
Sherry,Main_115,啊！汉娜你来了！,
Hanna,Main_116,所以说，你这么神神秘秘的，是要做什么， 还让我带着人偶和绳子过来。,
Sherry,Main_117,嘿嘿，汉娜先来坐在床上！,
Sherry,Main_118,汉娜呀，我现在可就要......,
Sherry,Main_119,......就要杀了你哦？,
Hanna,Main_120,喂！等......等下！,
Hanna,Main_121,至少...我...一个...遗言的时间！,
Hanna,Main_122,哈啊......哈......你这家伙， 我说让你杀了我......哈啊......也不至于这么突然吧！,
Sherry,Main_123,欸！但汉娜不是说让我做一个完美犯罪吗！,
Sherry,Main_124,如果让被害人有时间留下死亡讯息的话，就不算是完美犯罪了。,
Hanna,Main_125,笨蛋！笨蛋！！！笨蛋！！！！！ 这是自杀委托啊！好歹给委托人一点心理准备！！！,
Sherry,Main_126,唔......,
Hanna,Main_127,......好歹让人家听一听你的计划.....,
Sherry,Main_128,原来汉娜是在乎这个呀！,
Hanna,Main_129,可真是，简单粗暴呢。也应该只有你能做到搬房子这种手法了。,
Sherry,Main_130,哼哼~毕竟是汉娜要求我做到完美的！,
Sherry,Main_131,我要做一个，大家绝对想不到的密室手法！,
Sherry,Main_132,怎么样汉娜，做好准备了吗？再晚的话，作案时机就要过去咯。,
Hanna,Main_133,哈...,
Hanna,Main_134,（虽然...但我的指甲已经...）,
Hanna,Main_135,（等到我真的变成了魔女， 就没法杀死我了吧，到时候大家...）,
Hanna,Main_136,嗯......来吧......,
Hanna,Main_137,不过用绳子勒的话，更容易伪造自杀现场吧？,
Sherry,Main_138,啊确实是，这点疏忽了!,
Hanna,Main_139,雪莉，抱歉，我之前一直骗了大家，我其实根本不是大小姐出身。 我不过是一个普通到不能再普通的人...嗯...魔女而已。,
Sherry,Main_140,这点我早就发现啦！ 毕竟汉娜平常只是说话像大小姐，但是行为上却一点都不像呢！,
Hanna,Main_141,你说， 如果我们生在一个没有魔女因子的世界，我们还会是好朋友吗？,
Sherry,Main_142,嗯......,
Sherry,Main_143,从平行世界的角度上来说，或许有可能呢！,
Sherry,Main_144,不过，只要在这个世界上，我们是好朋友，就可以啦！,
Sherry,Main_145,说不定真的会有一个人的魔法是穿越世界，如果可以的话， 让她再去见证我们的友谊吧！,
Hanna,Main_146,啊啊啊啊！你这个笨蛋，说这些话不肉麻吗！,
Hanna,Main_147,（看来玛格她们已经到火精之室了，不能再拖了。）,
Hanna,Main_148,（对不起，艾玛，对不起，梅露露， 明明在一起留下了那么珍贵的回忆）,
Hanna,Main_149,（但是...对不起...你们，一定要活下去。）,
Hanna,Main_150,（雪莉，也是......最后再确认一下吧。）,
Hanna,Main_151,你一定能做到的吧，完美犯罪。,
Sherry,Main_152,汉娜在质疑我吗？ 我可是看着悬疑小说长大的，那些故事里的凶手都太笨啦，,
Sherry,Main_153,我刚才说的计划可是，什——么证据都不会留下的哦！,
Hanna,Main_154,（真是的，明明就要当凶手了，却还那么兴奋...）,
Hanna,Main_155,那么，我就把绳子交给你了。,
Hanna,Main_156,要让这座监狱的管理者知道， 不是所有人都会心甘情愿地接受既定的命运......,
Hanna,Main_157,......我绝对 不会变为杀人的魔女。,
Hanna,Main_158,还有，雪莉你一定要活下来，听明白了吗！,
Sherry,Main_159,汉娜就放心吧！包在我身上！,
Sherry,Main_160,那么汉娜，,
Sherry,Main_161,闭上眼睛吧。,
Hanna,Main_162,不...要...丢下我...我一个...人...,
Sherry,Main_163,嗯，不会的哟。,
Sherry,Main_164,这样子，就可以了吧。,
Sherry,Main_165,为朋友了却心愿，在人类看来，应该是很令人兴奋的吧。,
Sherry,Main_166,可为何——,
Sherry,Main_167,我却有一种， 似乎很久都没有体会到的心情了呢......,
Sherry,Main_168,完成啦！这下子就只剩艾玛的人偶了。,
Sherry,Main_169,如果让艾玛来推理的话...,
Sherry,Main_170,棋逢对手呢！ 名侦探艾玛 vs 名侦探雪莉！,
Sherry,Main_171,不过，倘若我失败了，艾玛， 你也一定要替我找到这座监牢的真相！,
Sherry,Main_172,所以在此，名侦探雪莉要留下重要提示啦！,
Sherry,Main_173,『当艾玛看到这封信的时候， 我大概已经死了。』,
Sherry,Main_174,『这些话是我在杀死汉娜以后 匆忙写下来的。』,
Sherry,Main_175,『我会全力以赴，争取在审判中存活下来， 但我同时也觉得，自己应该赢不过艾玛。』,
Sherry,Main_176,『所以呢，就请你把这些话当作是我的遗言吧。』,
Sherry,Main_177,『请你去调查一下【水精之室】。』,
Sherry,Main_178,『我在搬动屋子的时候， 发现那里的地基都是固定住的，完全搬不动。 我就想到，只有那里跟其他房间有明显的不同。』,
Sherry,Main_179,『因为时间不多，所以我也没有仔细调查过那里到底有什么， 你去找一找，说不定能找到些重大的线索。』,
Sherry,Main_180,『要问那里到底有什么，其实我也不知道怎么回答你才好。』,
Sherry,Main_181,『但我相信，艾玛你一定能够找出真相』,
Sherry,Main_182,『请你代替我， 揭开隐藏在这座监牢里的真相！』,
Sherry,Main_183,『希望你能答应我！』,
Sherry,Main_184,呼呼，这样子门牌也都更换完毕了。,
Sherry,Main_185,嗯哼哼~ 名侦探的雪莉，完美犯罪的雪莉，聪明又可爱的雪莉~,
Sherry,Main_186,汉娜快来夸...,
Sherry,Main_187,啊啊，我知道了。,
Sherry,Main_188,原来，这是名为【孤独】的情感啊。,
Sherry,Main_189,我有多久，没有这样子过了呢。,
Sherry,Main_190,汉娜，抱歉，其实从一开始，就骗了你呢。,
Sherry,Main_191,毕竟，完美犯罪这种东西，怎么可能存在呢。 或许某些无人知晓的角落里，决定性的证据已经出现了呢。,
Sherry,Main_192,这样子，她们一定会排除掉【自杀】这种可能性了。,
Sherry,Main_193,然后，选出一名【魔女】来，替我受罚。,
Sherry,Main_194,如果是汉娜的话，肯定不愿意看到这样的场景吧。,
Sherry,Main_195,所以，我的计划还有最后一部分没跟汉娜你说呢。,
Sherry,Main_196,最后一部分，是这个延迟纵火装置呢。,
Sherry,Main_197,到了白天，大家都能注意到这座【火精之室】了吧。,
Sherry,Main_198,至少，大家就可以排除艾玛、梅露露和亚里沙的嫌疑。,
Sherry,Main_199,至于奈叶香，只要我承认是我袭击了她，或许就可以了。,
Sherry,Main_200,而玛格她们，应该可以互相证明不在场吧。,
Sherry,Main_201,最后，凶手就只能是......,
Sherry,Main_202,......名侦探橘雪莉了。,
Sherry,Main_203,和你的约定，没法遵守了呢。,
Sherry,Main_204,我绝对...不会丢下你一个人的...,
